0.000000e+00	1.504341e-08	3.141593e+00
2.500000e-01	1.481179e-08	1.790414e-02
5.000000e-01	8.701532e-07	3.022531e+00
7.500000e-01	5.390890e-05	-1.289463e+00
1.000000e+00	2.017542e-04	1.593731e+00
1.250000e+00	5.555907e-05	-1.792086e+00
1.500000e+00	7.192328e-07	3.947166e-02
1.750000e+00	1.544593e-08	2.922027e+00
2.000000e+00	8.355305e-10	2.424737e+00
2.250000e+00	3.294055e-09	-1.135528e-01
2.500000e+00	4.008831e-08	1.044572e+00
2.750000e+00	2.891045e-07	3.105745e+00
3.000000e+00	1.100316e-06	1.371269e-01
3.250000e+00	9.616488e-07	-2.795541e+00
3.500000e+00	5.026820e-07	1.585716e+00
3.750000e+00	4.268019e-07	6.043841e-01
4.000000e+00	1.629086e-07	-2.102703e-01
4.250000e+00	1.506878e-07	-1.821100e+00
4.500000e+00	7.577422e-07	1.423428e+00
4.750000e+00	3.555977e-07	4.268971e-01
5.000000e+00	4.171722e-06	-3.469451e-01
5.250000e+00	3.771040e-06	-2.133393e+00
5.500000e+00	4.278418e-07	2.667800e+00
5.750000e+00	6.780847e-08	5.785129e-01
6.000000e+00	2.164782e-07	-1.551030e+00
6.250000e+00	2.281121e-07	-2.288428e+00
6.500000e+00	3.877113e-08	2.843150e+00
6.750000e+00	1.404574e-06	-2.495276e+00
7.000000e+00	2.317713e-06	1.949484e+00
7.250000e+00	8.321245e-08	8.167287e-01
7.500000e+00	3.055388e-07	1.411300e+00
7.750000e+00	2.246905e-07	1.067291e+00
8.000000e+00	3.988234e-07	7.197198e-01
8.250000e+00	8.037997e-07	-1.936789e-01
8.500000e+00	1.925200e-07	-1.916359e+00
8.750000e+00	3.393863e-08	-8.507086e-01
9.000000e+00	4.696905e-07	2.016452e+00
9.250000e+00	1.409244e-06	1.057703e-01
9.500000e+00	8.588544e-07	-1.044163e+00
9.750000e+00	5.288515e-07	-1.975013e+00
1.000000e+01	1.740543e-07	-2.924091e+00
1.025000e+01	9.045769e-08	1.765796e+00
1.050000e+01	4.665655e-08	-1.155334e+00
1.075000e+01	5.547757e-08	1.240959e+00
1.100000e+01	5.277565e-08	-1.709133e+00
1.125000e+01	1.829566e-07	7.218216e-01
1.150000e+01	3.380931e-07	-1.153211e+00
1.175000e+01	1.513519e-07	-2.446297e+00
1.200000e+01	2.959787e-08	2.361757e+00
1.225000e+01	7.900479e-09	2.168400e+00
1.250000e+01	1.102394e-07	1.332337e-01
1.275000e+01	5.649454e-08	-2.161740e+00
1.300000e+01	9.001312e-08	-2.680619e-01
1.325000e+01	1.717044e-07	-2.500126e+00
1.350000e+01	3.807846e-08	1.555778e+00
1.375000e+01	1.746662e-08	-1.170497e-01
1.400000e+01	9.670308e-09	-8.303211e-01
1.425000e+01	8.472541e-08	-1.326715e+00
1.450000e+01	1.668259e-07	2.866352e+00
1.475000e+01	1.503535e-07	3.337133e-01
1.500000e+01	3.631092e-08	-1.566039e+00
1.525000e+01	5.095675e-08	-1.775355e+00
1.550000e+01	5.638470e-08	2.319768e+00
1.575000e+01	3.611556e-08	-3.177835e-01
1.600000e+01	1.378978e-08	-2.374977e+00
1.625000e+01	2.903786e-08	5.509963e-01
1.650000e+01	2.056862e-07	-1.666392e+00
1.675000e+01	2.934270e-07	2.335344e+00
1.700000e+01	2.405706e-07	-2.998384e-02
1.725000e+01	8.302332e-08	-1.764084e+00
1.750000e+01	8.845647e-08	-2.684629e+00
1.775000e+01	1.375692e-07	1.675482e+00
1.800000e+01	1.538061e-07	-2.784738e-01
1.825000e+01	1.692701e-07	-2.013548e+00
1.850000e+01	1.102828e-07	2.227874e+00
1.875000e+01	3.152363e-08	-1.947071e-01
1.900000e+01	4.136421e-09	6.588079e-01
1.925000e+01	8.102996e-08	-1.509054e+00
1.950000e+01	7.024882e-08	2.590803e+00
1.975000e+01	3.394084e-08	6.542275e-01
2.000000e+01	6.056702e-08	-8.746846e-01
2.025000e+01	6.190334e-08	-2.872439e+00
2.050000e+01	1.680375e-08	1.170746e+00
2.075000e+01	9.779838e-09	1.715287e-01
2.100000e+01	4.531495e-08	-1.534756e+00
2.125000e+01	4.376439e-08	2.329273e+00
2.150000e+01	3.972004e-08	-2.739863e-01
2.175000e+01	1.650554e-08	-2.576288e+00
2.200000e+01	1.325418e-08	9.253004e-01
2.225000e+01	4.203030e-08	-1.324149e+00
2.250000e+01	5.044909e-08	2.335613e+00
2.275000e+01	9.082698e-08	-4.296059e-01
2.300000e+01	5.383796e-08	-2.918537e+00
2.325000e+01	1.807883e-08	3.120729e-01
2.350000e+01	3.595738e-09	-1.891698e+00
2.375000e+01	4.627776e-09	-1.662857e+00
2.400000e+01	2.421423e-09	1.841518e+00
2.425000e+01	6.630204e-09	-1.180554e+00
2.450000e+01	6.226414e-10	-2.547470e+00
2.475000e+01	1.148687e-09	2.609407e+00
2.500000e+01	1.343583e-08	-4.977891e-01
2.525000e+01	2.180014e-08	-2.928204e+00
2.550000e+01	2.373299e-08	5.274872e-01
2.575000e+01	2.859338e-08	-1.735651e+00
2.600000e+01	1.992474e-08	2.291968e+00
2.625000e+01	4.342345e-08	-1.935855e-01
2.650000e+01	6.582963e-08	-2.555176e+00
2.675000e+01	7.023018e-08	9.563738e-01
2.700000e+01	8.494033e-08	-1.642614e+00
2.725000e+01	4.139615e-08	1.990630e+00
2.750000e+01	2.817426e-08	-6.453141e-01
2.775000e+01	1.330742e-08	-2.440103e+00
2.800000e+01	1.360713e-08	1.736863e+00
2.825000e+01	4.401490e-08	-8.269938e-01
